Código,Epíca,Historia de Usuario,Criterio de Aceptación 1,Criterio de Aceptación 2,Criterio de Aceptación 3,Criterio de Aceptación 4,Criterio de Aceptación 5,Criterio de Aceptación 6,Criterio de Aceptación 7,Criterio de Aceptación 8,Criterio de Aceptación 9,Criterio de Aceptación 10,Criterio de Aceptación 11,Sprint,Estado
HU11,Compatibilidad & Portabilidad,Como usuario quiero poder seleccionar mi idioma (español/inglés) desde cualquier página para usar la interfaz en mi lengua nativa.,"Dado que cualquier página web ha cargado completamente (DOMContentLoaded)
Cuando el componente <LanguageSelector> se monta en la cabecera
Entonces se muestra un control desplegable con las opciones “Español” y “English”","Dado que el selector de idioma está visible y muestra la opción actual “Español”
Cuando el usuario selecciona “English” (evento onChange)
Entonces el cliente fija la cookie lang=en, recarga las cadenas de texto en inglés en toda la UI sin recargar la ruta, y guarda la preferencia en localStorage","Dado que el selector muestra actualmente “English”
Cuando el usuario selecciona “Español”
Entonces el cliente fija la cookie lang=es, vuelve a cargar todas las cadenas en español sin recargar la ruta, y actualiza localStorage","Dado que la cookie lang existe con valor “es” o “en”
Cuando el usuario recarga la página o navega a otra ruta interna
Entonces el cliente lee la cookie y configura la UI en el idioma correspondiente antes de renderizar contenidos","Dado que no existe cookie lang ni localStorage.lang
Cuando el usuario accede al sitio por primera vez
Entonces el cliente detecta navigator.language, si comienza con “es” se usa español, de lo contrario se usa inglés, y guarda esa preferencia en cookie y localStorage","Dado que una clave de texto no tiene traducción en el archivo de idioma seleccionado
Cuando el sistema intenta renderizar esa clave
Entonces muestra el texto en el idioma base (español), registra logger.warn(""Missing translation"", key, lang) y no rompe la UI","Dado que el navegador del usuario bloquea cookies de terceros o propias
Cuando el cliente intenta fijar la cookie lang
Entonces detecta el fallo, almacena la preferencia en localStorage y muestra un aviso discreto “Preferencia de idioma guardada temporalmente”","Dado que se abre un PR con cambios en los archivos de idioma (.json o .po)
Cuando la pipeline de CI ejecuta npm run verify-translations
Entonces falla si faltan claves en alguno de los idiomas o si la interpolación de variables no coincide",,,,6,Do 
HU12,Mantenibilidad y Observabilidad,"Como desarrollador y mantenedor quiero documentación de instalación, configuración y operación en Markdown para facilitar el onboarding y la operación.","Dado que el repositorio está clonado en local
Cuando inspecciono la raíz del proyecto
Entonces encuentro el archivo manual.md con permisos de lectura","Dado que manual.md existe
Cuando abro el archivo y busco encabezados
Entonces contiene al menos un encabezado de nivel 1 para cada sección:

# Instalación

# Configuración

# Operación","Dado que la sección # Instalación está presente
Cuando reviso el texto bajo ese encabezado
Entonces incluye pasos claros para:

Clonar el repositorio (git clone …)

Instalar dependencias (npm install o pip install -r requirements.txt)","Dado que la sección # Configuración está presente
Cuando reviso el texto bajo ese encabezado
Entonces se describen:

Variables de entorno obligatorias

Ejemplo de archivo .env.example

Parámetros de configuración de la base de datos y servicios externos","Dado que la sección # Operación está presente
Cuando reviso el texto bajo ese encabezado
Entonces se documentan:

Comandos para iniciar la aplicación (npm start, docker-compose up)

Procedimientos de monitoreo de logs

Pasos para mantenimiento rutinario y backups

 ","Dado que manual.md incluye enlaces internos o externos
Cuando pruebo cada enlace (o ejecuto markdownlint --validate-links)
Entonces ninguno retorna 404 y no hay referencias rotas","Dado que ejecuto markdownlint manual.md en la raíz del proyecto
Cuando el linter analiza el archivo
Entonces no reporta advertencias ni errores según la configuración de .markdownlint.json","Dado que se abre un PR sin manual.md o con secciones incompletas
Cuando la pipeline de CI ejecuta el script scripts/check_manual.sh
Entonces el job falla con mensaje “manual.md inválido o secciones faltantes”","Dado que se modifica la infraestructura (por ejemplo, nuevos servicios o comandos)
Cuando el desarrollador actualiza manual.md
Entonces añade una entrada en CHANGELOG.md bajo “Documentación” indicando la sección y fecha de la modificación","Dado que el proyecto usa MkDocs o Jekyll para generar docs
Cuando ejecuto mkdocs build o jekyll build
Entonces no hay errores de compilación y el directorio site/ o _site/ contiene el HTML derivado de manual.md",,1,Do 
HU13,Usabilidad y Accesibilidad,Como usuario novato quiero completar una compra en menos de 3 min con ayuda mínima para disfrutar de una experiencia sencilla e intuitiva.,"Dado que el usuario novato inicia un test automatizado en entorno QA con cronómetro en timestamp_start
Cuando completa todos los pasos del flujo de compra (selección, carrito, registro/login, pago, confirmación)
Entonces el script mide duration = timestamp_end – timestamp_start y verifica que duration < 180 000 ms","Dado que el usuario accede a /catalogo, con el test simulando ancho de banda estándar
Cuando el navegador dispara DOMContentLoaded y el usuario introduce un término de búsqueda en el campo #search
Entonces la lista de productos filtrados aparece en < 3 s y el usuario puede clicar en el producto deseado sin ayuda externa","Dado que el usuario está viendo la página de detalle de producto /productos/{id}
Cuando hace clic en “Añadir al carrito” (onClick dispara POST /api/cart)
Entonces recibe HTTP 200, ve el badge de carrito actualizado y puede continuar al checkout de inmediato","Dado que el carrito contiene al menos un ítem y el usuario pulsa “Ir a pagar” en /carrito
Cuando la UI redirige a /checkout y renderiza el formulario de pago
Entonces el usuario visualiza todos los campos requeridos (dirección, método de pago) en un solo paso sin navegar por múltiples pantallas","Dado que el usuario novato no está autenticado y opta por registrarse durante el checkout
Cuando rellena name, email, password y clica “Crear cuenta y pagar” (POST /api/auth/register-and-pay)
Entonces recibe HTTP 201, se autentica automáticamente con JWT, y avanza al pago sin pasos adicionales","Dado que el usuario está autenticado y ve el resumen del pedido y opciones de pago en /checkout
Cuando introduce datos de la tarjeta o elige pasarela y pulsa “Confirmar pago” (POST /api/payments)
Entonces el backend procesa el pago, retorna HTTP 200 y el usuario ve “Pago exitoso” en la misma ruta","Dado que el pago fue exitoso
Cuando el frontend recibe la respuesta
Entonces redirige automáticamente a /pedido/{orderId}, muestra un mensaje “Pedido {orderId} generado con éxito” y el test registra timestamp_end","Dado que ocurre un fallo de servidor o red en alguno de los endpoints (/api/cart, /api/auth, /api/payments)
Cuando la petición retorna HTTP ≥ 500 o lanza excepción de red
Entonces la UI muestra un mensaje genérico “Error al procesar tu acción. Intenta nuevamente.”, ofrece un botón “Reintentar” y no interrumpe el cronómetro del test","Dado que el usuario novato parece inactivo por > 30 s en cualquier paso
Cuando detecta inactividad en el frontend (idleTimer)
Entonces automáticamente muestra un tooltip contextual con guía breve (“Para pagar, completa el formulario y haz clic en Confirmar pago”) sin requerir intervención humana","Dado que el flujo de compra finaliza (éxito o fallo)
Cuando el frontend captura los timestamps y eventos de ayuda mostrados
Entonces envía a performance_logs un objeto { userType:""novato"", duration, helpTooltipsDisplayed, errorsEncountered } para análisis continuo",,1,Do 
HU14,Comunicación y soporte,Como usuario en la sección de ayuda quiero acceder al chatbot desde allí para resolver dudas sin tener que navegar fuera de la página de soporte.,"Dado que he navegado a GET /ayuda y la ruta ha respondido HTTP 200
Cuando la UI renderiza el componente <HelpPage />
Entonces el botón “Chatbot” (<button id=""openChatbot"">) aparece dentro del layout de ayuda sin mostrar ningún widget de chat activo","Dado que estoy en /ayuda y <Chatbot /> está montado con visible = false
Cuando hago clic en el botón “Chatbot” (onClick en <button id=""openChatbot"">)
Entonces el componente <Chatbot /> cambia a visible = true, carga su CSS/JS dinámicamente, y no cambia la URL ni recarga la página","Dado que <Chatbot /> acaba de cambiar a visible = true
Cuando el componente invoca new WebSocket(""wss://api.juangel.com/chat"")
Entonces recibe el evento onopen en < 2 s y muestra el mensaje del sistema “¿En qué puedo ayudarte?”","Dado que <Chatbot /> está visible y con estado connected
Cuando ingreso “¿Cómo funciona el soporte?” en el campo de entrada y presiono Enter (onSubmit)
Entonces el cliente envía { message: ""¿Cómo funciona el soporte?"" }, recibe { answer } en < 2 s y lo muestra en burbuja de respuesta","Dado que <Chatbot /> está visible y se han intercambiado mensajes
Cuando hago clic en cualquier enlace interno de /ayuda
Entonces <Chatbot /> permanece montado, sin reiniciar la conexión ni perder el historial","Dado que <Chatbot /> está visible en /ayuda
Cuando hago clic en el icono “Cerrar” (onClick en <button id=""closeChatbot"">)
Entonces <Chatbot /> cambia a visible = false, cierra la conexión WebSocket (socket.close()), y se oculta el UI del chat sin recargar la ruta","Dado que el usuario hace clic en “Chatbot” y se intenta cargar el bundle JS/CSS de <Chatbot />
Cuando la solicitud de los recursos falla (HTTP 404/500) o tiempo de carga excede 10 s
Entonces la UI muestra “Chatbot no disponible en este momento.” y deshabilita el botón “Chatbot”","Dado que <Chatbot /> está visible y ha invocado new WebSocket()
Cuando el socket emite onerror o onclose antes de onopen
Entonces la UI muestra “Error de conexión de chat. Por favor, inténtalo de nuevo más tarde.” y realiza hasta 3 reintentos automáticos con backoff exponencial","Dado que envío un mensaje y el socket está en estado readyState !== 1 (OPEN)
Cuando el cliente detecta que no pudo enviar el payload
Entonces muestra “No se pudo enviar el mensaje. Revisar conexión.” sin perder el texto del usuario",,,5,Do 
HU15,Administración y  backoffice,"Como administrador quiero crear, editar y eliminar registros de proveedores con datos de contacto para mantener actualizada la base de proveedores.","Dado que un administrador autenticado accede a /admin/proveedores
Cuando hace clic en “Agregar proveedor”
Entonces el sistema renderiza un formulario con campos: nombreEmpresa, contactoNombre, telefono, email, direccion, y botón “Guardar”","Dado que el administrador llena todos los campos requeridos del formulario
Cuando pulsa “Guardar” y la UI envía POST /api/proveedores con JSON válido
Entonces la API responde HTTP 201 y el nuevo proveedor aparece en la tabla con notificación “Proveedor creado correctamente”","Dado que el administrador deja vacío un campo requerido como nombreEmpresa o email
Cuando pulsa “Guardar”
Entonces el sistema no envía la solicitud y muestra mensaje de error “Campo requerido”","Dado que el administrador hace clic en “Editar” sobre un proveedor
Cuando se monta el modal o formulario
Entonces se precargan los datos actuales del proveedor en los campos para modificación","Dado que el formulario ha sido modificado
Cuando el administrador pulsa “Guardar cambios” y se envía PATCH /api/proveedores/{id}
Entonces la API responde HTTP 200 y la UI muestra “Proveedor actualizado correctamente” con los nuevos datos reflejados","Dado que el administrador ha modificado el formulario
Cuando pulsa “Cancelar”
Entonces el sistema cierra el formulario sin aplicar cambios","Dado que el administrador pulsa “Eliminar” en un proveedor
Cuando aparece el modal de confirmación y se confirma
Entonces se envía DELETE /api/proveedores/{id} y la API responde HTTP 204, tras lo cual se elimina el proveedor de la lista y se muestra “Proveedor eliminado correctamente”","Dado que la API devuelve un error (por ejemplo, conflicto de email duplicado o error 500)
Cuando se intenta crear un proveedor
Entonces la UI muestra un mensaje: “No se pudo crear el proveedor. Intenta nuevamente” y se registra el error en admin_errors con { adminId, timestamp, tipoOperacion: ""create"", error }","Dado que se intenta actualizar un proveedor y ocurre un fallo (p. ej., proveedor inexistente o error de red)
Cuando la API responde con error
Entonces se muestra “Error al actualizar el proveedor” y el error se registra en backend","Dado que el administrador intenta eliminar un proveedor
Cuando el backend devuelve un error (por ejemplo, proveedor asociado a pedidos activos)
Entonces la UI muestra “No se puede eliminar el proveedor. Está asociado a pedidos” y la operación no se ejecuta",,3,Do 
HU16,Comunicación y soporte,Como usuario del chatbot quiero que atienda al menos 100 usuarios simultáneos sin superar el 70 % de uso de CPU para mantener un servicio fluido.,"Dado que el entorno de pruebas (staging) está configurado con 100 instancias de cliente conectadas simultáneamente al endpoint WebSocket del chatbot
Cuando se ejecuta un script de prueba que mantiene activas las 100 conexiones durante 5 minutos
Entonces el monitor de recursos registra un uso de CPU promedio < 70 % en la instancia del servidor de chatbot","Dado que el servicio de monitoreo (p. ej. Prometheus) recoge métricas de CPU cada 10 s
Cuando el chatbot atiende la prueba de carga
Entonces las métricas de CPU (< 70 %) se almacenan en la serie chatbot_cpu_usage con etiquetas { instance, timestamp }","Dado que el uso de CPU en el servidor de chatbot supera el 70 % durante ≥ 1 minuto consecutivo
Cuando el sistema de alertas detecta el umbral excedido
Entonces se dispara un evento ALERT_CPU_HIGH y se envía una notificación inmediata al canal de DevOps","Dado que el servicio de chatbot ha alcanzado o superado el 70 % de uso de CPU
Cuando un cliente intenta abrir una nueva conexión WebSocket
Entonces el servidor responde con HTTP 503 (o código de cierre WS 1013) con mensaje “Servidor saturado, reintenta en unos segundos” y rechaza la conexión","Dado que la infraestructura está configurada con un orquestador que soporta escalado automático
Cuando el uso de CPU permanece ≥ 70 % durante 2 minutos
Entonces el orquestador lanza automáticamente una nueva réplica del servicio de chatbot para distribuir la carga","Dado que el cliente recibe un cierre de WebSocket o código 503 al intentar conectar
Cuando el componente Chatbot captura el error
Entonces muestra “Servicio momentáneamente saturado. Inténtalo de nuevo.” y registra { event:""ConnectionRefused"", timestamp, attemptedConnections } en chatbot_errors","Dado que ha finalizado un mes calendario
Cuando se ejecuta el job de reporte en GET /api/monitoring/cpu-uptime?component=chatbot&month=MM&year=YYYY
Entonces el sistema verifica que ≤ 5 % del tiempo mensual el CPU estuvo ≥ 70 % y genera un informe de cumplimiento","Dado que el cliente recibió un cierre WS 503
Cuando transcurren 30 s después del rechazo
Entonces el cliente intenta reconectar automáticamente hasta 3 veces con backoff exponencial, y si persiste el error, ofrece “Contacta soporte” en la UI","Dado que el orquestador crea o destruye réplicas del chatbot
Cuando ocurre un evento de escalado automático
Entonces el sistema registra en scaling_events { component:""chatbot"", action:""scaleUp""|""scaleDown"", replicasBefore, replicasAfter, timestamp }",,,5,Do 
HU17,Seguridad y Privacidad,Como usuario quiero consentimiento explícito y anonimización de datos sensibles según Ley 1581/2012 y Decreto 1377/2013 para asegurar la privacidad.,"Dado que un usuario accede al formulario de registro (GET /registro)
Cuando se renderiza <form id=""registrationForm"">
Entonces aparece un checkbox obligatorio con texto de la Política de Privacidad (“He leído y acepto la Política de Privacidad de Juangel”) y un enlace a GET /politica-privacidad","Dado que el usuario marca el checkbox y envía POST /api/users con { name, email, birthDate, password, consent: true }
Cuando el servidor procesa la petición
Entonces responde HTTP 201, almacena { userId, consentGiven: true, consentTimestamp } en consent_logs y crea el usuario","Dado que el payload de registro carece de consent: true o checkbox desmarcado
Cuando el cliente envía POST /api/users
Entonces la API devuelve HTTP 400 con { error:""ConsentRequired"" } y la UI muestra inline “Debe aceptar la Política de Privacidad para continuar”","Dado que un usuario autenticado solicita anonimización de sus datos (POST /api/users/{id}/anonymize)
Cuando el servidor recibe la petición válida con JWT
Entonces reemplaza campos PII (name, email, address, etc.) por valores pseudonimizados, establece isAnonymized: true y retorna HTTP 200","Dado que el proceso de anonimización se completó exitosamente
Cuando el backend finaliza la operación
Entonces envía un correo a la dirección original (antes de anonimizar) con asunto “Tus datos han sido anonimizados” y detalles del cambio realizado","Dado que ocurre un fallo al insertar en consent_logs (por ejemplo, error de base de datos)
Cuando el servidor procesa la creación de usuario
Entonces la API responde HTTP 500 con { error:""ConsentLogError"" }, no crea el usuario y registra el incidente en security_incidents","Dado que el usuario solicita anonimización y la operación falla (error de conectividad o lógica)
Cuando la petición POST /api/users/{id}/anonymize devuelve HTTP 500
Entonces la API responde { error:""AnonymizationFailed"" }, mantiene datos intactos y la UI muestra “No se pudo anonimizar tus datos. Intenta más tarde.”","Dado que un usuario anonimizó sus datos y accede a GET /api/users/{id}
Cuando el servidor procesa la solicitud
Entonces retorna HTTP 200 con { userId, isAnonymized: true } y los campos PII retornan como null o valores genéricos (""Anónimo""), cumpliendo la normativa","Dado que alguien intenta acceder a datos PII de un usuario anonimizado
When el endpoint /api/users/{id} detecta isAnonymized: true
Entonces responde HTTP 403 y registra { userId, attemptedBy, timestamp, error:""AccessDeniedPII"" } en security_incidents",,,1,Do 
HU18,Mantenibilidad y Observabilidad,"Como equipo de operaciones quiero logs estructurados y métricas expuestas a Prometheus para monitorear latencia, errores y uso de recursos en tiempo real.","Dado que cualquier componente de la aplicación genera un evento de log (info, warning, error)
Cuando el log se emite desde el backend
Entonces se registra en stdout/stderr una línea en formato JSON con campos estándares: timestamp, level, service, message, y un objeto metadata con información contextual (por ejemplo, route, userId, requestId)","Dado que Filebeat/Logstash (u otro agente) está configurado para capturar stdout/stderr
Cuando un log JSON se escribe en la salida estándar
Entonces el agente lo envía al clúster central sin introducir latencias significativas (overhead < 5 ms por evento)","Dado que el servicio HTTP está levantado en producción
Cuando Prometheus realice GET /metrics
Entonces el servidor responde HTTP 200 con el payload en texto formateado para Prometheus, incluyendo métricas como http_request_duration_seconds, app_error_total y process_cpu_seconds_total","Dado que se recibe cualquier petición HTTP a los endpoints principales
Cuando se completa la respuesta
Entonces el middleware registra la duración en un histogram http_request_duration_seconds{method,route} con buckets adecuados para capturar latencias de 10 ms a 5 s","Dado que un handler devuelve una respuesta con código ≥ 500
Cuando el servidor emite la respuesta
Entonces se incrementa el contador app_error_total{route,code} en Prometheus para facilitar alertas y dashboards","Dado que la aplicación corre en un entorno instrumentado
Cuando Prometheus scrapea el endpoint /metrics
Entonces incluye gauges como process_cpu_seconds_total y process_resident_memory_bytes, reflejando el uso de recursos en tiempo real","Dado que durante un scrape /metrics el handler lanza una excepción o timeout
Cuando la petición GET /metrics retorna HTTP ≥ 500 o no responde en 5 s
Entonces el servidor escribe en logs un error con message:""MetricsExposureError"", error, timestamp y responde HTTP 500 al scraper","Dado que Prometheus no recibe datos de una métrica crítica (por ejemplo, http_request_duration_seconds) tras 2 scrapes consecutivos
Cuando se dispara la condición en la regla de alerta
Entonces Prometheus emite una alerta MissingMetrics al canal de DevOps con detalles del job y la métrica faltante","Dado que se ejecuta el pipeline de integración en la rama main
Cuando el job de checks incluye una llamada a GET /metrics
Entonces debe recibir HTTP 200 con al menos 5 métricas diferentes, validando el schema Prometheus antes de aprobar el merge",,,6,Do 
HU19,Visibilidad y marketing,"Como equipo de marketing quiero meta tags dinámicos, sitemap.xml y robots.txt para mejorar el posicionamiento SEO de la plataforma.","Dado que el usuario navega a cualquier página pública (/home, /catalogo, /productos/{id}, /nosotros)
Cuando el servidor genera el HTML inicial o la SPA actualiza la ruta
Entonces el <head> incluye dinámicamente <title>, <meta name=""description"">, <meta property=""og:title""> y <meta property=""og:description""> con valores específicos de la página (por ejemplo, nombre del producto y descripción)","Dado que la página no proporciona datos específicos (por ejemplo, listados sin descripción)
Cuando el renderer detecta ausencia de título o descripción personalizada
Entonces usa meta tags por defecto configuradas en el sistema (titleDefault, descriptionDefault) y registra un logger.warn(""Default meta tags used"", route)","Dado que la aplicación está desplegada en producción
Cuando un crawler o navegador solicita GET /sitemap.xml
Entonces el servidor devuelve HTTP 200 con un documento XML válido que lista todas las URLs públicas actualizadas en las últimas 24 h","Dado que existen nuevas rutas dinámicas (productos, categorías)
Cuando se ejecuta el job diario de generación de sitemap
Entonces el archivo sitemap.xml incluye <url><loc>, <lastmod>, <changefreq>, <priority> para cada ruta, y se guarda en /public/sitemap.xml","Dado que el sitemap.xml ha sido regenerado exitosamente
Cuando finaliza la tarea de actualización (cron a las 03:00 AM)
Entonces el sistema envía solicitudes a los endpoints de ping de Google y Bing (GET https://www.google.com/ping?sitemap=…) y registra respuestas en seo_logs","Dado que un crawler solicita GET /robots.txt
Cuando el servidor sirve el archivo
Entonces devuelve HTTP 200 con el contenido:

User-agent: *

Allow: /

Sitemap: https://sitio.com/sitemap.xml","Dado que existen rutas privadas o de administración (/admin, /api)
Cuando se actualiza el robots.txt
Entonces incluye líneas Disallow: /admin y Disallow: /api, y la versión se incrementa en seo_logs","Dado que el job diario falla al compilar URLs por error de base de datos o excepción
Cuando el proceso dispara excepción
Entonces registra { error, timestamp } en seo_errors, no sobrescribe el sitemap.xml existente y envía alerta al equipo de DevOps","Dado que robots.txt no se encuentra en /public o retorna 404
Cuando un crawler lo solicita
Entonces el servidor sirve dinámicamente un robots.txt minimal con User-agent: *\nDisallow: y registra la generación en seo_logs","Dado que se crea o modifica un PR que toca el código de SEO
Cuando el pipeline de CI ejecuta npm run seo:validate
Entonces verifica la validez de sitemap.xml contra su XSD, comprueba la existencia de robots.txt y falla si alguno no cumple el esquema o está ausente",,4,Do 
HU20,Cuenta y seguridad,Como usuario registrado quiero recuperar o cambiar mi contraseña mediante un enlace seguro enviado por correo para poder acceder si olvido mi clave.,"Dado que estoy en la página principal (GET /) y hago clic en <NavLink to=""/olvide-contraseña"">Olvidé mi contraseña</NavLink>
Cuando el cliente emite GET /olvide-contraseña
Entonces recibe HTTP 200, renderiza <form id=""forgotForm""> con campo email y botón “Enviar enlace”","Dado que el formulario #forgotForm está visible y el campo email contiene user@ejemplo.com
Cuando hago clic en “Enviar enlace” (onClick que dispara POST /api/auth/forgot-password con { email })
Entonces la API responde HTTP 200, el cliente muestra un toast “Correo de recuperación enviado” y limpia el campo","Dado que ingreso un email no existente y clico “Enviar enlace”
Cuando la petición POST /api/auth/forgot-password retorna HTTP 404 con { error:""UserNotFound"" }
Entonces la UI muestra “Correo no registrado” junto al campo #email y no limpia el formulario","Dado que el usuario envía su email correcto y clica “Enviar enlace”
Cuando la API retorna HTTP 500
Entonces la UI muestra banner rojo “Error del servidor. Inténtelo más tarde.” y registra logger.error","Dado que recibí el correo y accedo a /reset-password?token=abc123
Cuando el cliente emite GET /api/auth/validate-token?token=abc123
Entonces la API devuelve HTTP 200 y el cliente renderiza <form id=""resetForm""> con campos newPassword, confirmPassword y botón “Cambiar contraseña”","Dado que accedo a /reset-password?token=xyz con token inválido o expirado
Cuando GET /api/auth/validate-token?token=xyz retorna HTTP 400 con { error:""InvalidOrExpiredToken"" }
Entonces la UI muestra “Enlace no válido o expirado”, deshabilita el formulario y ofrece enlace “Reenviar correo”","Dado que el formulario #resetForm está cargado y visible
Cuando ingreso un newPassword que no cumple el regex de seguridad (mínimo 8 caracteres, 1 mayúscula, 1 número) y pierdo el foco de #newPassword
Entonces el cliente muestra inline “La contraseña debe tener ≥8 caracteres, 1 mayúscula y 1 número” y deshabilita el botón “Cambiar contraseña”","Dado que he ingresado valores distintos en newPassword y confirmPassword
Cuando pierdo el foco de #confirmPassword
Entonces el cliente muestra inline “Las contraseñas no coinciden” y deshabilita el botón “Cambiar contraseña”","Dado que ambos campos pasan validación de formato y coincidencia
Cuando hago clic en “Cambiar contraseña” (onClick que dispara POST /api/auth/reset-password con { token:""abc123"", newPassword })
Entonces la API responde HTTP 200, el cliente muestra toast “Contraseña actualizada con éxito” y redirige a /login","Dado que envío el POST /api/auth/reset-password con token válido
Cuando la API retorna HTTP 500
Entonces la UI muestra banner rojo “Error al cambiar contraseña. Inténtalo de nuevo.” y registra el error en logger.error","Dado que el usuario pulsa “Cambiar contraseña” y la petición excede el timeout (10 s) o hay error de red
Cuando el cliente captura la excepción
Entonces muestra “No se pudo conectar. Verifica tu red e inténtalo de nuevo.” y habilita el botón “Cambiar contraseña” para reintentar**",3,Do 
HU21,Facturación y pagos,"Como cliente quiero pagar mis pedidos mediante una pasarela de pagos (PSE, PayU, etc.) y ver si la transacción fue exitosa o fallida.","Dado que he iniciado sesión y tengo productos en el carrito
Cuando confirmo el pedido y selecciono un método de pago (PSE o PayU) en el paso final del checkout
Entonces la UI realiza una petición POST /api/orders con los datos del pedido, y el backend responde con una URL de redirección segura de la pasarela correspondiente
Entonces el cliente es redirigido automáticamente a esa URL para iniciar el proceso de pago","Dado que estoy en la vista de confirmación de compra
Cuando la UI carga correctamente los datos del pedido
Entonces se visualiza un resumen con productos, cantidades, total a pagar, e información del cliente antes de redirigir a la pasarela","Dado que he realizado el pago en la pasarela y esta redirige al frontend con ?status=success&transactionId=xyz
Cuando el backend valida la transacción con el proveedor (por ejemplo, PayU) vía webhook o consulta directa
Entonces responde con HTTP 200 y actualiza el pedido a estado “Pagado”, mostrando al cliente un mensaje “¡Pago realizado con éxito!” junto con el resumen de la orden","Dado que la pasarela redirige con ?status=failure o el webhook indica fallo de validación
Cuando el backend detecta una transacción fallida
Entonces el sistema marca el pedido como “Fallido” y muestra al usuario un mensaje “Tu pago no pudo procesarse. Intenta nuevamente o usa otro método de pago”","Dado que la pasarela redirige sin parámetros o con una estructura inválida
Cuando la UI o backend no pueden validar el estado del pago
Entonces el cliente ve un mensaje “Hubo un problema al validar tu transacción. Verifica tu estado desde ‘Mis pedidos’ o contáctanos”","Dado que el cliente completa o falla una transacción
Cuando la UI recibe respuesta desde la pasarela
Entonces se registra en la tabla payment_logs con { userId, orderId, transactionId, status, timestamp }","Dado que el usuario tiene un pedido en estado “Fallido”
Cuando ingresa a “Mis pedidos” y pulsa “Reintentar pago”
Entonces se redirige nuevamente a la pasarela con la misma referencia del pedido original","Dado que el backend intenta registrar o verificar el pago con la API de la pasarela
Cuando la pasarela devuelve error HTTP 5xx o no responde
Entonces el backend marca el estado como “Error técnico” y la UI muestra “No pudimos validar tu transacción. Intentaremos verificarla más tarde”",,,,2,Do 
HU22,Usabilidad y accesibilidad,"Como usuario quiero que la interfaz se adapte a móviles, tablets, laptops, escritorios y smart TV para navegar cómodamente en cualquier dispositivo.","Dado que el usuario accede a la aplicación con un dispositivo móvil en orientación portrait (width = 360px)
Cuando la ruta /home dispara DOMContentLoaded
Entonces el menú de navegación colapsa en un ícono “hamburger”, las tarjetas de producto se muestran en una columna y no aparece scroll horizontal","Dado que el usuario rota el dispositivo a landscape (width = 640px)
Cuando el evento resize dispara la recalculación de estilos CSS
Entonces el menú permanece colapsado, las tarjetas se organizan en dos columnas adaptativas y no hay solapamiento de elementos","Dado que el usuario usa una tablet en portrait (width = 768px)
Cuando carga cualquier ruta (por ejemplo, /catalogo)
Entonces el menú de navegación se expande en un sidebar colapsable y las tarjetas de producto se muestran en dos columnas sin scroll horizontal","Dado que la tablet se orienta en landscape (width = 1024px)
Cuando ocurre el evento resize
Entonces el sidebar permanece visible, las tarjetas se ajustan a tres columnas y las imágenes mantienen proporción sin deformarse","Dado que el usuario accede desde un laptop (width = 1366px)
Cuando el componente monta y aplica media queries
Entonces el menú de navegación muestra enlaces completos, las tarjetas se distribuyen en tres columnas y los formularios mantienen alineación horizontal correcta","Dado que el usuario usa un monitor desktop (width = 1920px)
Cuando carga la página de detalles de producto
Entonces el layout utiliza un grid de cuatro columnas y el espacio en blanco se distribuye de forma equilibrada, sin estirar innecesariamente imágenes ni texto","Dado que el usuario accede desde un smart TV (width = 1920px) y navega con teclado o control remoto
Cuando el foco via :focus se mueve entre elementos
Entonces los elementos clave (botones, tarjetas) reciben un outline visible y el tamaño de fuente y botones es mayor (mínimo 18 px) para legibilidad a distancia","Dado que el usuario aplica zoom al navegador (≥ 200 %) o modifica el tamaño de fuente en ajustes de accesibilidad
Cuando recarga o navega a otra ruta
Entonces todos los elementos se reflowean correctamente, los textos no se solapan y los botones siguen siendo accesibles sin perder funcionalidad","Dado que los estilos CSS no cargan (error 404/timeout de hoja de estilos)
Cuando la aplicación detecta document.styleSheets.length === 0
Entonces se aplica un estilo inline básico, el contenido queda legible en una sola columna, y la UI muestra un banner “Modo básico activado por fallo de estilos” para garantizar accesibilidad mínima",,,6,Do 
